flickr_id;mos;width;height;pixfmt;framerate;nb_frames;bitdepth;bitrate
12262452854;4.24;960;540;yuv420p;24;192;8;931300
3339962845;4.64;960;540;yuv420p;29.97002997;240;8;704684
6076608135;4.4;960;540;yuv420p;29.97002997;240;8;1638438
7518773518;4.32;960;540;yuv420p;23.97602398;192;8;1810853
8171831850;4.444029851;960;540;yuv420p;29.97002997;240;8;1476951
8562619627;4.26;960;540;yuv420p;25;200;8;825895
8657921837;4.3;960;540;yuv420p;24;192;8;1177582
8751538577;4.4;960;540;yuv420p;23.976;192;8;2429441
8758952624;4.3;960;540;yuv420p;29.97;240;8;1128286
9571377943;4.28;960;540;yuv420p;23.976;192;8;1881877
